"figure","panel","group","datasets_used","minima","whisker_min","first_quartile","median","third_quartile","whisker_max","maxima"
"3B",1,1,6,3.11398225355052,3.11398225355052,4.8390620684957,8.72283912947747,11.0848880436451,14.6087827485696,14.6087827485696
"3B",1,2,6,0.193246119407755,0.193246119407755,0.54185909197921,1.55170124346707,1.9931690312895,1.99991033430999,4.95870010669409
"3B",2,1,5,0.359283002814909,0.359283002814909,0.638349651170781,0.863860698126195,1.89369257479632,1.89369257479632,2.57949341261105
"3B",2,2,5,0.0909251735879956,0.0909251735879956,0.11668146001802,0.441696362346125,0.489995911914415,0.697128531283931,3.62565154145623
"3B",3,1,12,3.11398225355052,0.0801737531822487,0.304261916236434,0.443070256589302,1.62439378892617,2.93194974938188,14.6087827485696
"3B",3,2,12,0.193246119407755,0.0181031130874031,0.302175446383268,0.376686428004397,0.754430192444052,1.03912092563951,4.95870010669409
"3B",4,1,6,0.359283002814909,0.0281235072429412,0.513296416707624,1.1935845275526,3.38112576630313,6.05019584009637,2.57949341261105
"3B",4,2,6,0.0909251735879956,0.277059517336416,0.30047258136903,0.591369475887328,1.20352711458617,1.33265523947316,3.62565154145623
"3C",1,1,7,0.227467311969811,0.227467311969811,0.583349842670198,1.45953366315535,1.70622277408488,2.58206289246005,2.58206289246005
"3C",1,2,7,0.232132704412445,0.232132704412445,0.607292818542918,1.05351262088497,1.26481968152337,1.39564851258851,4.15945264767574
"3C",2,1,6,0.0284861582022264,0.0284861582022264,0.43043580824716,1.22106398377566,1.27602061510411,1.27849498928272,6.98552529809941
"3C",2,2,6,0.227467311969811,0.133707367756956,0.166647028156394,0.645211932849963,1.06991984361956,1.20988569640342,2.58206289246005
"3C",3,1,12,0.232132704412445,0.0457072249186928,0.313913667486815,0.484067221809459,0.732706172739057,1.26587183086929,4.15945264767574
"3C",3,2,12,0.0284861582022264,0.0235934115974226,0.0871582033891542,0.400145192548244,0.577756089302284,1.02040565824136,6.98552529809941
"3C",4,1,6,0.227467311969811,0.176552640284944,0.28642261298906,0.509942372505645,1.10166568514902,1.88971335752225,2.58206289246005
"3C",4,2,6,0.232132704412445,1.22226284270024,1.65097797912242,1.75214699099454,1.93711789636465,1.98671130952042,4.15945264767574
"Sup8B",1,1,6,2.36627895736069,2.36627895736069,4.76018301491517,8.13723149106889,10.3157611106903,14.5384876092384,14.5384876092384
"Sup8B",1,2,6,0.235909572440338,0.235909572440338,0.701317373239849,1.8859856875763,3.07659758085665,6.13471194426658,6.13471194426658
"Sup8B",2,1,5,0.172055977170502,0.172055977170502,0.583759561681748,1.08276729792748,1.08645169473544,1.08645169473544,2.89234287948051
"Sup8B",2,2,5,0.128469912299417,0.128469912299417,0.367566597066748,0.468199607583502,0.666302075397593,0.666302075397593,3.24375347618727
"Sup8B",3,1,12,2.36627895736069,0.0174961766520037,0.438047066646842,0.811354660451063,0.996431018026245,1.49811101928801,14.5384876092384
"Sup8B",3,2,12,0.235909572440338,0.245336667436621,0.397475571853025,0.527092340386044,1.21089446180823,1.83532518780006,6.13471194426658
"Sup8B",4,1,6,0.172055977170502,0.0846859980803546,0.393334764677141,1.3453349776009,3.15144548956526,4.96362124232967,2.89234287948051
"Sup8B",4,2,6,0.128469912299417,0.148614823069917,0.26814796046675,0.666946061210749,2.74499281144672,3.9385861448657,3.24375347618727
"Sup8C",1,1,6,0.110722756597884,0.110722756597884,0.201763183099764,0.685223808827593,1.57695190357544,1.81090819658012,1.81090819658012
"Sup8C",1,2,6,0.916050855984849,0.916050855984849,1.4450347968086,2.31408670933779,3.02423028496398,3.26161972396881,3.26161972396881
"Sup8C",2,1,5,1.21976872845315,1.21976872845315,1.21976872845315,1.22392964788631,1.49128231948384,1.49128231948384,3.6310715687519
"Sup8C",2,2,5,0.216495643216354,0.216495643216354,0.884020447136922,1.57684954654359,2.09047242833692,3.00294292869643,10.6614520083172
"Sup8C",3,1,12,0.110722756597884,0.000358325336329996,0.371115065459644,0.880037433604416,1.77958980801976,3.19994552470122,1.81090819658012
"Sup8C",3,2,12,0.916050855984849,0.141361892156391,0.571576834492766,1.40703086445522,2.07385065594379,3.6457497377923,3.26161972396881
