"figure" "panel" "group" "minima" "whisker_min" "first_quartile" "median" "third_quartile" "whisker_max" "maxima"
"3B" 1 1 3.11398225355052 3.11398225355052 4.8390620684957 8.72283912947747 11.0848880436451 14.6087827485696 14.6087827485696
"3B" 1 2 0.193246119407757 0.193246119407757 0.54185909197921 1.55170124346707 1.9931690312895 1.99991033430999 4.3265358841061
"3B" 2 1 0.359283002814909 0.359283002814909 0.638349651170781 0.863860698126195 1.89369257479632 1.89369257479632 4.95870010669408
"3B" 2 2 0.0909251735879956 0.0909251735879956 0.11668146001802 0.441696362346125 0.489995911914415 0.697128531283931 0.697128531283931
"3B" 3 1 0.0801737531822455 0.0801737531822455 0.304261916236436 0.443070256589301 1.62439378892617 2.93194974938188 2.93194974938188
"3B" 3 2 0.0181031130874031 0.0181031130874031 0.302175446383268 0.3766864280044 0.754430192444049 1.03912092563951 2.57949341261105
"3B" 4 1 0.028123507242944 0.028123507242944 0.513296416707625 1.1935845275526 3.38112576630313 6.05019584009637 6.05019584009637
"3B" 4 2 0.277059517336417 0.277059517336417 0.30047258136903 0.591369475887328 1.20352711458617 1.33265523947316 3.62565154145623
"3C" 1 1 0.22746731196981 0.22746731196981 0.583349842670198 1.45953366315535 1.70622277408488 2.58206289246005 2.58206289246005
"3C" 1 2 0.232132704412445 0.232132704412445 0.607292818542918 1.05351262088497 1.26481968152337 1.39564851258851 2.31531742743423
"3C" 2 1 0.0284861582022269 0.0284861582022269 0.430435808247156 1.22106398377566 1.27602061510411 1.27849498928272 4.15945264767573
"3C" 2 2 0.133707367756956 0.133707367756956 0.166647028156394 0.645211932849963 1.06991984361956 1.20988569640342 1.20988569640342
"3C" 3 1 0.0457072249186962 0.0457072249186962 0.313913667486815 0.484067221809459 0.732706172739056 1.2658718308693 1.2658718308693
"3C" 3 2 0.0235934115974226 0.0235934115974226 0.0871582033891556 0.400145192548241 0.577756089302284 1.02040565824137 1.02040565824137
"3C" 4 1 0.176552640284944 0.176552640284944 0.286422612989061 0.509942372505648 1.10166568514902 1.88971335752225 1.88971335752225
"3C" 4 2 1.22226284270024 1.22226284270024 1.65097797912243 1.75214699099454 1.93711789636465 1.98671130952042 6.98552529809941
