"pcNum" "Studies"
20 "SRP109549"
27 "SRP109992"
21 "SRP110148"
18 "SRP110609"
34 "SRP111343"
24 "SRP111402"
23 "SRP111915"
27 "SRP113470"
24 "SRP113755"
22 "SRP115472"
24 "SRP115815"
21 "SRP115956"
15 "SRP116273"
15 "SRP116952"
19 "SRP117629"
41 "SRP117755"
17 "SRP118733"
15 "SRP118741"
11 "SRP119053"
5 "SRP119248"
19 "SRP119465"
24 "SRP119636"
10 "SRP119800"
7 "SRP121075"
16 "SRP123604"
21 "SRP124954"
28 "SRP124967"
16 "SRP125001"
25 "SRP125008"
36 "SRP125125"
20 "SRP125153"
20 "SRP125154"
16 "SRP125275"
22 "SRP125396"
21 "SRP125403"
13 "SRP126064"
22 "SRP126289"
22 "SRP126417"
23 "SRP126429"
31 "SRP126485"
7 "SRP126580"
28 "SRP126583"
41 "SRP126667"
16 "SRP126672"
9 "SRP126691"
26 "SRP127021"
22 "SRP127343"
25 "SRP127579"
32 "SRP127581"
16 "SRP127586"
30 "SRP128610"
26 "SRP129004"
7 "SRP130953"
19 "SRP131037"
20 "SRP131375"
16 "SRP131761"
14 "SRP131763"
18 "SRP131959"
26 "SRP132018"
15 "SRP132313"
29 "SRP132709"
10 "SRP132719"
36 "SRP132830"
22 "SRP132968"
16 "SRP133058"
12 "SRP133442"
36 "SRP133573"
14 "SRP134127"
18 "SRP134389"
21 "SRP135684"
7 "SRP135927"
40 "SRP136057"
18 "SRP136102"
41 "SRP136108"
20 "SRP136693"
15 "SRP136694"
11 "SRP136739"
17 "SRP137071"
10 "SRP137147"
27 "SRP140488"
9 "SRP140489"
17 "SRP140536"
19 "SRP140557"
19 "SRP140558"
14 "SRP140795"
16 "SRP141364"
36 "SRP141379"
21 "SRP144003"
24 "SRP144178"
14 "SRP144212"
17 "SRP144363"
19 "SRP144382"
20 "SRP144485"
25 "SRP144495"
35 "SRP144588"
35 "SRP144647"
8 "SRP144750"
20 "SRP144912"
7 "SRP145426"
24 "SRP145493"
25 "SRP145599"
24 "SRP145862"
8 "SRP147915"
30 "SRP147923"
13 "SRP148472"
25 "SRP148477"
24 "SRP148497"
18 "SRP148556"
43 "SRP148597"
20 "SRP148659"
18 "SRP148695"
14 "SRP149174"
25 "SRP149374"
13 "SRP149535"
20 "SRP149545"
33 "SRP149794"
29 "SRP149847"
16 "SRP149978"
26 "SRP150419"
15 "SRP150595"
8 "SRP150723"
33 "SRP150872"
19 "SRP151147"
10 "SRP151475"
14 "SRP151753"
27 "SRP151763"
19 "SRP152577"
29 "SRP153060"
14 "SRP153396"
20 "SRP154478"
27 "SRP154984"
19 "SRP155483"
20 "SRP155941"
30 "SRP155976"
19 "SRP156276"
16 "SRP156532"
33 "SRP156583"
33 "SRP156757"
12 "SRP156760"
31 "SRP158325"
30 "SRP158425"
22 "SRP158491"
17 "SRP158590"
36 "SRP158730"
16 "SRP158994"
15 "SRP159277"
20 "SRP160510"
11 "SRP161678"
22 "SRP161704"
23 "SRP161997"
26 "SRP162023"
23 "SRP162188"
33 "SRP162268"
23 "SRP162300"
18 "SRP163027"
28 "SRP163173"
21 "SRP163514"
17 "SRP164913"
12 "SRP164953"
39 "SRP165679"
22 "SRP165962"
42 "SRP166108"
18 "SRP166112"
18 "SRP166966"
28 "SRP168038"
10 "SRP168821"
21 "SRP169094"
22 "SRP169582"
15 "SRP169609"
15 "SRP170629"
15 "SRP170684"
15 "SRP170967"
15 "SRP171042"
20 "SRP172461"
25 "SRP172499"
20 "SRP172786"
23 "SRP172788"
17 "SRP173388"
17 "SRP174204"
36 "SRP174502"
20 "SRP174638"
23 "SRP174668"
12 "SRP174970"
13 "SRP178271"
24 "SRP178543"
28 "SRP179613"
9 "SRP179648"
32 "SRP179781"
15 "SRP180337"
11 "SRP182096"
20 "SRP182694"
29 "SRP183071"
23 "SRP183146"
16 "SRP183186"
20 "SRP183188"
24 "SRP183515"
24 "SRP183811"
8 "SRP185955"
20 "SRP186329"
30 "SRP186383"
19 "SRP186406"
25 "SRP186685"
17 "SRP186787"
20 "SRP187053"
9 "SRP187599"
21 "SRP187984"
8 "SRP188219"
16 "SRP188526"
16 "SRP189995"
13 "SRP190850"
24 "SRP191427"
12 "SRP194402"
23 "SRP194595"
30 "SRP195777"
15 "SRP200400"
22 "SRP201124"
20 "SRP212710"
12 "SRP213794"
