"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",63.1854356237565,61.4991686294231,0.314470029580724,66.6887247437363,0.0234791012974779
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",634.43948327981,636.409623965641,0.050535948578131,662.609016116083,1.03389087402345e-07
"TCGA.COAD_eset",138.733415215731,135.720870717749,0.610346926808466,142.969014475754,0.0162802977378106
"TCGA.RNASeqV2_eset",198.630766683679,197.013776498882,0.303763783493148,203.779910374448,0.0103107128123551
