"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",NA,NA,NA,NA,NA
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",205.877090696266,210.006301981806,0.017169758957256,206.728695608527,0.0884071477125158
"TCGA.COAD_eset",21.7720774661898,29.662916516893,0.00261780388286797,18.8410880757428,0.585959089620484
"TCGA.RNASeqV2_eset",76.2531732747813,78.9745741857903,0.0347109369606385,74.3828067045425,0.34479104404389
