"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",44.4262191713157,40.5231923634167,0.95267010876227,50.723614575165,0.0058069622004295
"GSE12945_eset",93.3739368935315,89.4865471473593,0.94525067046344,90.1946999245463,0.66339710556677
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",36.8590785956215,34.4128287729642,0.459840729959842,36.5567229563608,0.157422472441909
"GSE2109_eset",455.375546381592,459.926647970938,0.0139043881465101,451.84978851882,0.788895771717984
"GSE21510_eset",74.915218755869,81.7269631272165,0.00449013646015207,73.0864280885536,0.337697529817391
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",212.521737370452,219.493037327326,0.00414583949706612,210.554026440682,0.361987884801689
"TCGA.COAD_eset",172.796302103004,171.082569014955,0.318818451431727,170.517321607861,0.422946429388231
"TCGA.RNASeqV2_eset",247.497638486708,249.791213246003,0.0429900158558345,249.830686540296,0.0421498553304837
