"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",87.5035030881904,90.4146422281663,0.0315693182981743,88.9264527845209,0.0664387473568175
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",30.8623970609035,28.3830538172999,0.467512880763253,27.1925927053306,0.847810765305627
"GSE2109_eset",355.517080749133,355.015748298756,0.173889754602561,363.680632781933,0.00228411642024783
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",NA,NA,NA,NA,NA
"TCGA.COAD_eset",NA,NA,NA,NA,NA
"TCGA.RNASeqV2_eset",NA,NA,NA,NA,NA
