"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",62.4967767729808,61.4991686294231,0.222863471994649,67.1649760936309,0.0131136755218948
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",NA,NA,NA,NA,NA
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",185.855665425286,182.644320372342,0.674133259293224,207.289583344029,2.99981793529903e-06
"GSE17536_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE21815_eset",NA,NA,NA,NA,NA
"GSE26682.GPL570_eset",NA,NA,NA,NA,NA
"GSE26682.GPL96_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",637.33976440085,636.409623965641,0.215470820483425,754.930292418143,3.95323211858767e-27
"TCGA.COAD_eset",136.627956549366,135.720870717749,0.213001284198146,159.994231523992,1.14153411271113e-06
"TCGA.RNASeqV2_eset",198.270939851486,197.013776498882,0.253746809095551,224.957584506994,2.1701001600763e-07
"NHS.HPFS_eset",920.522376506828,917.662626231859,0.565454830179041,991.970381932095,4.13688822302185e-17
