"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",89.6983223887055,90.4146422281663,0.0945941239326427,86.0132034312856,0.854327626402419
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",NA,NA,NA,NA,NA
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",NA,NA,NA,NA,NA
"GSE17536_eset",143.575545823777,139.782026263674,0.901910290613527,154.453566754261,0.000587866624285475
"GSE17538.GPL570_eset",30.9674056693487,28.3830538172999,0.492715143592196,32.4794384328294,0.0635444014666012
"GSE2109_eset",346.083931349974,355.015748298756,0.0015555774148609,351.623939233023,0.00848034673439303
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE21815_eset",NA,NA,NA,NA,NA
"GSE26682.GPL570_eset",NA,NA,NA,NA,NA
"GSE26682.GPL96_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",NA,NA,NA,NA,NA
"TCGA.COAD_eset",NA,NA,NA,NA,NA
"TCGA.RNASeqV2_eset",NA,NA,NA,NA,NA
"NHS.HPFS_eset",443.427350120195,450.440300839394,0.0040603936189021,448.732184629739,0.00953851701495034
