"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",64.4718423624132,61.4991686294231,0.598299907312073,66.6236871568749,0.0461470428397785
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",NA,NA,NA,NA,NA
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",186.517363924262,182.644320372342,0.938494555698047,186.602568659863,0.129690768264298
"GSE17536_eset",NA,NA,NA,NA,NA
"GSE17538.GPL570_eset",NA,NA,NA,NA,NA
"GSE2109_eset",NA,NA,NA,NA,NA
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE21815_eset",NA,NA,NA,NA,NA
"GSE26682.GPL570_eset",NA,NA,NA,NA,NA
"GSE26682.GPL96_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",623.687921434036,636.409623965641,0.000233845184607981,668.785722362081,2.18045933538693e-11
"TCGA.COAD_eset",137.910017450864,135.720870717749,0.404369330817379,141.549990268658,0.0219280989192958
"TCGA.RNASeqV2_eset",196.605590006232,197.013776498882,0.110350540711278,202.292720994922,0.00787891169560599
"NHS.HPFS_eset",915.628349095373,917.662626231859,0.0489410596958256,932.042461114823,3.69089676859408e-05
