"","AIC.full","AIC.disc","LR.disc","AIC.cont","LR.cont"
"GSE12225.GPL3676_eset",NA,NA,NA,NA,NA
"GSE12945_eset",88.7782379039734,90.4146422281663,0.0597132009195657,88.8493025109322,0.130610939339174
"GSE13067_eset",NA,NA,NA,NA,NA
"GSE13294_eset",NA,NA,NA,NA,NA
"GSE14095_eset",NA,NA,NA,NA,NA
"GSE14333_eset",NA,NA,NA,NA,NA
"GSE17536_eset",136.914417387095,139.782026263674,0.0322639607386725,140.176077906627,0.0264941782245288
"GSE17538.GPL570_eset",29.8343106923191,28.3830538172999,0.2796066283131,26.8313099738554,0.607441356602749
"GSE2109_eset",353.398505716683,355.015748298756,0.060288054801317,359.02548701829,0.00811946794635159
"GSE21510_eset",NA,NA,NA,NA,NA
"GSE21815_eset",NA,NA,NA,NA,NA
"GSE26682.GPL570_eset",NA,NA,NA,NA,NA
"GSE26682.GPL96_eset",NA,NA,NA,NA,NA
"GSE33113_eset",NA,NA,NA,NA,NA
"GSE39582_eset",NA,NA,NA,NA,NA
"TCGA.COAD_eset",NA,NA,NA,NA,NA
"TCGA.RNASeqV2_eset",NA,NA,NA,NA,NA
"NHS.HPFS_eset",442.119763540082,450.440300839394,0.00211168589183446,451.948826785538,0.000993246563898579
