"","study","CMS_label","mean_PCSS1","mean_PCSS2","sd_PCSS1","sd_PCSS2"
"1","GSE12225.GPL3676_eset","CMS1",0.252917758555244,-2.15960104787772,0.326728058907624,0.690249945459843
"2","GSE12225.GPL3676_eset","CMS2",-1.24191288474745,0.228900516651737,0.752997391022113,0.576204805340824
"3","GSE12225.GPL3676_eset","CMS3",-0.549163473959898,-0.582540019513985,0.436927878106345,0.777770665687379
"4","GSE12225.GPL3676_eset","CMS4",1.07602874189057,0.509437469887074,0.459807722971691,0.681026328774412
"5","GSE12225.GPL3676_eset","not labeled",0.202190903665364,0.241055538467302,0.57047867206381,0.891002397059048
"6","GSE12945_eset","CMS1",0.741243887680257,-2.16182864633142,0.521025290721337,0.720964351390647
"7","GSE12945_eset","CMS2",-0.681465330442481,0.423210611629355,0.276900814445401,0.601518713585226
"8","GSE12945_eset","CMS3",-0.196366222054136,-0.514361682919824,0.466582174918069,0.699932928188286
"9","GSE12945_eset","CMS4",1.89932953209837,0.804987518640936,1.68632917963934,1.10599292541312
"10","GSE12945_eset","not labeled",0.208284457059288,0.195471728686269,0.607768631269108,0.505554125766412
"11","GSE13067_eset","CMS1",0.47074427043231,-1.39394168046663,0.574239324838309,0.591230093391333
"12","GSE13067_eset","CMS2",-0.8684600643383,0.328273150928556,0.385703706059727,0.400417403163078
"13","GSE13067_eset","CMS3",-0.519298778718163,-0.48124042880898,0.623542701362474,0.0791633228782409
"14","GSE13067_eset","CMS4",1.09625367183567,1.11007202261315,0.970271315651655,0.753297229309481
"15","GSE13067_eset","not labeled",0.626297192225507,-0.278914023556638,0.167116438999937,0.049935279604216
"16","GSE13294_eset","CMS1",0.707480727345122,-1.04865389419923,0.634293272057749,0.437819940425835
"17","GSE13294_eset","CMS2",-0.940348644051709,0.776394126161813,0.630280094774345,0.581450017002902
"18","GSE13294_eset","CMS3",-0.410583279357281,-0.553889413639233,0.862272333085835,0.536000760470513
"19","GSE13294_eset","CMS4",0.902246406698121,0.884401831465258,0.60541881678677,0.766578881063419
"20","GSE13294_eset","not labeled",-0.159787931318907,-0.120685870730684,0.539854944462996,0.621225199954858
"21","GSE14095_eset","CMS1",0.445878613840959,-1.48402843971945,0.540764855541217,0.61115414781765
"22","GSE14095_eset","CMS2",-0.801650507192287,0.506768394594708,0.644099301070453,0.420240483985203
"23","GSE14095_eset","CMS3",-0.256295788137304,-0.61568292001874,0.693512394353907,0.783331511837431
"24","GSE14095_eset","CMS4",1.087762117351,0.772088744946706,0.8345233633872,0.508808718876027
"25","GSE14095_eset","not labeled",-0.110200830161306,0.336599446596965,0.780586219096649,0.586472692268552
"26","GSE14333_eset","CMS1",0.435175928753974,-1.44213857740577,0.695766888306253,0.659570114858006
"27","GSE14333_eset","CMS2",-1.03038477951986,0.367084336987118,0.701293991286088,0.45421205172073
"28","GSE14333_eset","CMS3",-0.382707331530058,-0.641511417231286,0.720689891810433,0.537697987063764
"29","GSE14333_eset","CMS4",0.929511210712899,0.950184696603547,0.631813099310061,0.602248195697591
"30","GSE14333_eset","not labeled",0.166339441549212,0.0710098753937095,0.510808674712918,0.568207177180091
"31","GSE17536_eset","CMS1",0.821370571796592,-1.38525701635748,0.69224522343822,0.617032004109424
"32","GSE17536_eset","CMS2",-0.870409446143707,0.482555583990989,0.548744267671895,0.526788246697174
"33","GSE17536_eset","CMS3",-0.368016480077897,-0.49231483052895,0.516864262728258,0.637472199018968
"34","GSE17536_eset","CMS4",0.997030844311062,0.749728602602674,0.809585651881899,0.561209446214469
"35","GSE17536_eset","not labeled",-0.0661512282388503,0.0129815619025656,0.514257740108938,1.11999817400198
"36","GSE17538.GPL570_eset","CMS1",0.420832916067266,-1.4875111382199,0.629812194407418,0.455932077144912
"37","GSE17538.GPL570_eset","CMS2",-0.945092605418936,0.514696578388722,0.497409866213477,0.368432020551886
"38","GSE17538.GPL570_eset","CMS3",-0.366000404968274,-0.64760076894249,0.518230184269802,0.689956667393355
"39","GSE17538.GPL570_eset","CMS4",1.04141834511406,0.82294491893117,0.78864689336122,0.546519920846312
"40","GSE17538.GPL570_eset","not labeled",0.00387260472502462,0.0911332841282839,0.755078428466225,0.709619157141352
"41","GSE2109_eset","CMS1",0.564149900143474,-1.46276959959669,0.584084435419952,0.572913527740073
"42","GSE2109_eset","CMS2",-0.853070439710966,0.251097491663467,0.610664605083617,0.568226087034818
"43","GSE2109_eset","CMS3",-0.498979725670532,-0.544862435703559,0.668887879713657,0.746222525664073
"44","GSE2109_eset","CMS4",0.992338177259935,0.95587743380362,0.761608772931301,0.501203758748492
"45","GSE2109_eset","not labeled",0.056449793280252,-0.0961336184161259,0.59417816304267,0.790848259149538
"46","GSE21510_eset","CMS1",0.897944448695457,-1.52131503253257,0.962456836932029,0.726697524412695
"47","GSE21510_eset","CMS2",-0.777189310268921,0.580060066904334,0.57407796106243,0.562870039241441
"48","GSE21510_eset","CMS3",-0.337134702862108,-0.948947854996656,0.746078650834086,0.75015352766598
"49","GSE21510_eset","CMS4",0.596380379355804,0.575864158920561,0.748837025011238,0.498396882915339
"50","GSE21510_eset","not labeled",0.132382270113623,0.171713898515269,0.47874660864023,0.561416406781359
"51","GSE21815_eset","CMS1",0.940242875625776,-1.58203285620312,0.790944990913278,0.79688440677091
"52","GSE21815_eset","CMS2",-0.728776248958338,0.406297006901597,0.613719095532282,0.463732418881932
"53","GSE21815_eset","CMS3",-0.210178716910954,-0.591477179254318,0.613269087586541,0.819009486681412
