"","study","CMS_label","mean_PCSS1","mean_PCSS2","sd_PCSS1","sd_PCSS2"
"1","GSE12225.GPL3676_eset","CMS1",0.252917758555244,-2.15960104787772,0.326728058907624,0.690249945459843
"2","GSE12225.GPL3676_eset","CMS2",-1.24191288474745,0.228900516651737,0.752997391022113,0.576204805340824
"3","GSE12225.GPL3676_eset","CMS3",-0.549163473959898,-0.582540019513985,0.436927878106345,0.777770665687379
"4","GSE12225.GPL3676_eset","CMS4",1.07602874189057,0.509437469887074,0.459807722971691,0.681026328774412
"5","GSE12225.GPL3676_eset","not labeled",0.202190903665364,0.241055538467302,0.57047867206381,0.891002397059048
"6","GSE12945_eset","CMS1",0.741243887680257,-2.16182864633142,0.521025290721337,0.720964351390647
"7","GSE12945_eset","CMS2",-0.681465330442481,0.423210611629355,0.276900814445401,0.601518713585226
"8","GSE12945_eset","CMS3",-0.196366222054136,-0.514361682919824,0.466582174918069,0.699932928188286
"9","GSE12945_eset","CMS4",1.89932953209837,0.804987518640936,1.68632917963934,1.10599292541312
"10","GSE12945_eset","not labeled",0.208284457059288,0.195471728686269,0.607768631269108,0.505554125766412
"11","GSE13067_eset","CMS1",0.47074427043231,-1.39394168046663,0.574239324838309,0.591230093391333
"12","GSE13067_eset","CMS2",-0.8684600643383,0.328273150928556,0.385703706059727,0.400417403163078
"13","GSE13067_eset","CMS3",-0.519298778718163,-0.48124042880898,0.623542701362474,0.0791633228782409
"14","GSE13067_eset","CMS4",1.09625367183567,1.11007202261315,0.970271315651655,0.753297229309481
"15","GSE13067_eset","not labeled",0.626297192225507,-0.278914023556638,0.167116438999937,0.049935279604216
"16","GSE17538.GPL570_eset","CMS1",0.420832916067266,-1.4875111382199,0.629812194407418,0.455932077144912
"17","GSE17538.GPL570_eset","CMS2",-0.945092605418936,0.514696578388722,0.497409866213477,0.368432020551886
"18","GSE17538.GPL570_eset","CMS3",-0.366000404968274,-0.64760076894249,0.518230184269802,0.689956667393355
"19","GSE17538.GPL570_eset","CMS4",1.04141834511406,0.82294491893117,0.78864689336122,0.546519920846312
"20","GSE17538.GPL570_eset","not labeled",0.00387260472502462,0.0911332841282839,0.755078428466225,0.709619157141352
"21","GSE2109_eset","CMS1",0.564149900143474,-1.46276959959669,0.584084435419952,0.572913527740073
"22","GSE2109_eset","CMS2",-0.853070439710966,0.251097491663467,0.610664605083617,0.568226087034818
"23","GSE2109_eset","CMS3",-0.498979725670532,-0.544862435703559,0.668887879713657,0.746222525664073
"24","GSE2109_eset","CMS4",0.992338177259935,0.95587743380362,0.761608772931301,0.501203758748492
"25","GSE2109_eset","not labeled",0.056449793280252,-0.0961336184161259,0.59417816304267,0.790848259149538
"26","GSE21510_eset","CMS1",0.897944448695457,-1.52131503253257,0.962456836932029,0.726697524412695
"27","GSE21510_eset","CMS2",-0.777189310268921,0.580060066904334,0.57407796106243,0.562870039241441
"28","GSE21510_eset","CMS3",-0.337134702862108,-0.948947854996656,0.746078650834086,0.75015352766598
"29","GSE21510_eset","CMS4",0.596380379355804,0.575864158920561,0.748837025011238,0.498396882915339
"30","GSE21510_eset","not labeled",0.132382270113623,0.171713898515269,0.47874660864023,0.561416406781359
"31","GSE33113_eset","CMS1",0.533199631300538,-1.37115311974179,0.593557663365924,0.526536857144484
"32","GSE33113_eset","CMS2",-0.85028456932715,0.575811282151996,0.621547632197584,0.371184018333472
"33","GSE33113_eset","CMS3",-0.558656625095957,-0.526821338685266,0.69813469008479,0.500971779817733
"34","GSE33113_eset","CMS4",0.99118537242051,0.752334163401893,0.845132734744667,0.613663151833646
"35","GSE33113_eset","not labeled",0.350128782956971,-0.295745469319978,0.940876016675298,0.933253044141193
"36","GSE39582_eset","CMS1",0.69393789434749,-1.42846660333885,0.696522185970263,0.539587904711338
"37","GSE39582_eset","CMS2",-0.779703179426239,0.460822072806527,0.492976401735786,0.493673899776156
"38","GSE39582_eset","CMS3",-0.517546223301686,-0.602435483758522,0.605368499583617,0.705208842853379
"39","GSE39582_eset","CMS4",1.04262461211894,0.816790680112491,0.748721458618707,0.652693262476365
"40","GSE39582_eset","not labeled",0.0214259410180874,-0.0827221463749558,0.825211066896663,0.853214136451505
"41","TCGA.COAD_eset","CMS1",1.06008745362052,-1.50940627632779,0.767246715214954,0.547819526970085
"42","TCGA.COAD_eset","CMS2",-0.811507242738918,0.539407036371931,0.551629970388114,0.484880574881287
"43","TCGA.COAD_eset","CMS3",-0.239227870499996,-0.479138887402405,0.485238358594716,0.570903348761901
"44","TCGA.COAD_eset","CMS4",0.696491305387483,0.749983356125133,0.785400416833363,0.596933399153202
"45","TCGA.COAD_eset","not labeled",-0.161992988462868,-0.000979612613228727,0.835021668237784,0.731000201330142
"46","TCGA.RNASeqV2_eset","CMS1",0.368847722062483,-1.40806147533822,0.649315422732943,0.492435868231419
"47","TCGA.RNASeqV2_eset","CMS2",-0.921427972117794,0.318781327483804,0.705370772971993,0.471081454935697
"48","TCGA.RNASeqV2_eset","CMS3",-0.418499943768633,-0.788959225072967,0.580082098585141,0.671064490955025
"49","TCGA.RNASeqV2_eset","CMS4",0.888600972031401,0.811645596901521,0.696108442729352,0.522256877710314
"50","TCGA.RNASeqV2_eset","not labeled",0.317780328040441,-0.107294718672404,0.819657575625415,0.605610815839406
