"","study","CMS_label","mean_RAV834","mean_RAV833","sd_RAV834","sd_RAV833"
"1","GSE12225.GPL3676_eset","CMS1",0.88500037728816,0.332472818486794,0.264317238250615,0.152473506087964
"2","GSE12225.GPL3676_eset","CMS2",-0.206034542863835,0.33036639374193,0.364884383861475,0.326595472625377
"3","GSE12225.GPL3676_eset","CMS3",0.280603275011325,0.431752711187788,0.21346112268233,0.1321263783478
"4","GSE12225.GPL3676_eset","CMS4",-0.212801154760343,-0.520234518213286,0.374484142449285,0.281942263457076
"5","GSE12225.GPL3676_eset","not labeled",-0.0353417057337883,-0.10586710642551,0.536476675973152,0.314488584078062
"6","GSE12945_eset","CMS1",1.06496941138111,0.179791377379324,0.439122751817384,0.250305349681408
"7","GSE12945_eset","CMS2",-0.418747230809393,0.0813260441477359,0.286152051240671,0.231783475850401
"8","GSE12945_eset","CMS3",0.371728333614938,0.402704940749703,0.443970249272811,0.29635736177504
"9","GSE12945_eset","CMS4",-0.127428571235474,-0.80781428590443,0.364166359094688,0.378393589518777
"10","GSE12945_eset","not labeled",0.0158961561419412,-0.210515627774274,0.457087299924616,0.18505208992333
"11","GSE13067_eset","CMS1",1.63099107439351,0.227679752310305,0.751933174045556,0.526298954163848
"12","GSE13067_eset","CMS2",-0.787895446400794,0.599928930731325,0.526858966709219,0.614217721849169
"13","GSE13067_eset","CMS3",0.752367078512907,0.931874439611586,0.415613895807148,0.825745916243608
"14","GSE13067_eset","CMS4",-0.78047686060451,-1.78905794409576,0.846174309917486,1.89968150546568
"15","GSE13067_eset","not labeled",0.677313357049527,0.111649308052073,0.352708324178238,0.506075021156802
"16","GSE13294_eset","CMS1",1.54071973112462,-0.10742722090519,0.610315002329007,0.829708231374467
"17","GSE13294_eset","CMS2",-1.38018447378018,0.354870212832552,0.829435783434945,0.597962306347008
"18","GSE13294_eset","CMS3",0.667183030065285,0.927315987368799,0.65163605629753,0.64748481079456
"19","GSE13294_eset","CMS4",-0.74090578829666,-1.34580298268383,1.39120250779985,0.851489746364557
"20","GSE13294_eset","not labeled",0.0975905955698825,0.202824502098688,0.584155254090859,0.55133383417155
"21","GSE14095_eset","CMS1",1.78176869398087,0.284067677408203,0.831269074811758,0.851559920637383
"22","GSE14095_eset","CMS2",-0.954202761288868,0.287981297136779,0.582416312632466,0.824260999757776
"23","GSE14095_eset","CMS3",0.892273517567789,1.20417289579672,0.781698046226486,0.787305004703473
"24","GSE14095_eset","CMS4",-0.561764401632319,-1.59620014756379,0.963401392453789,1.29448391151011
"25","GSE14095_eset","not labeled",-0.354499468344797,-0.0628081131311142,0.748511560177156,1.12350089719555
"26","GSE14333_eset","CMS1",1.4194667683669,0.151561851771534,0.696975276321691,0.622675716848643
"27","GSE14333_eset","CMS2",-0.734228871353871,0.536660470088286,0.504446098116363,0.606676708120195
"28","GSE14333_eset","CMS3",0.761325075814632,0.924058544982149,0.532774547747737,0.690305833396346
"29","GSE14333_eset","CMS4",-0.756125634617702,-1.30518707675641,0.59055384166753,1.01687290052891
"30","GSE14333_eset","not labeled",0.107299207824855,0.0482409069212055,0.64828647362764,0.562242587806509
"31","GSE17536_eset","CMS1",1.18530931825193,0.039273087433127,0.457560476346878,0.515150973942912
"32","GSE17536_eset","CMS2",-0.522322770125112,0.310725469762985,0.420754369627779,0.410292241683533
"33","GSE17536_eset","CMS3",0.392856682952876,0.478584608369693,0.507579062215559,0.503331826169145
"34","GSE17536_eset","CMS4",-0.458813405943483,-0.905414126390311,0.397219807131336,0.738297353595484
"35","GSE17536_eset","not labeled",0.00572600958953941,0.0488257366833832,0.861324362617047,0.559672556955844
"36","GSE17538.GPL570_eset","CMS1",0.992918974858769,0.142521146396414,0.392633231517207,0.491793958087766
"37","GSE17538.GPL570_eset","CMS2",-0.621013319653229,0.442938460815027,0.321841151153164,0.374559549972353
"38","GSE17538.GPL570_eset","CMS3",0.550521366656983,0.752366173700393,0.308843022203752,0.381716101920588
"39","GSE17538.GPL570_eset","CMS4",-0.295622883973014,-1.05290429872704,0.590979531775552,0.74384959337665
"40","GSE17538.GPL570_eset","not labeled",-0.175880755594411,-0.278146092972787,0.471385902166106,0.275493664365901
"41","GSE2109_eset","CMS1",1.49312401960256,0.0704476591837431,0.650330953079461,0.783645102840979
"42","GSE2109_eset","CMS2",-0.658919723107509,0.653588388062481,0.55919231993342,0.741219212070617
"43","GSE2109_eset","CMS3",0.823902871511525,1.23093637223076,0.551431057604785,0.745198326211573
"44","GSE2109_eset","CMS4",-0.798972878400278,-1.73377869991159,0.609548141001178,1.13507218258718
"45","GSE2109_eset","not labeled",0.180302734756377,0.0439082498729304,0.850959591677155,0.994493354764524
"46","GSE21510_eset","CMS1",1.26902534820933,0.026725454590612,0.791476645630582,0.341732043613202
"47","GSE21510_eset","CMS2",-0.524256438159155,0.0874581733211059,0.466944670369011,0.412636194679669
"48","GSE21510_eset","CMS3",0.772072562953096,0.592036504317262,0.736081821990313,0.525747346638489
"49","GSE21510_eset","CMS4",-0.404180148322728,-0.626582375600063,0.451517324272865,0.440554994417714
"50","GSE21510_eset","not labeled",-0.164540810376427,-0.140732647898169,0.487423518241216,0.323016353839246
"51","GSE21815_eset","CMS1",1.88301036290123,0.241536337770371,1.01786251646925,0.523145469563316
"52","GSE21815_eset","CMS2",-0.590604509799185,0.361229088912337,0.513145977779316,0.535984889063869
"53","GSE21815_eset","CMS3",0.83145777454808,0.597705206060134,0.699893396783326,0.865935285513013
"54","GSE21815_eset","CMS4",-0.924444831229026,-1.64033304271782,0.503573054668062,0.965803038216855
